trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,0,15,0,44.17960839997977,,44.13464920013212,10,44.17960839997977,44.17960839997977,0.02155229984782636,48.00325770000927,[0.384],[-0.21],[1],[0],[0],[3.8468945999629796],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
16,0,16,0,48.05029510008171,,48.00866740010679,5,48.05029510008171,48.05029510008171,0.02374000009149313,50.394585700007156,[-0.484],[0.282],[1],[0],[0],[2.3628171999007463],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
17,0,17,0,50.474076099926606,,50.398919800063595,10,50.474076099926606,50.474076099926606,0.04621420009061694,52.12461520009674,[0.064],[0.374],[1],[0],[0],[1.6799285002052784],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
18,0,18,0,52.15472450014204,,52.126838400028646,5,52.15472450014204,52.15472450014204,0.011118799913674593,54.82708250009455,[0.044],[-0.422],[1],[0],[0],[2.68905740021728],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
19,0,19,0,54.87466290011071,,54.82934039994143,10,54.87466290011071,54.87466290011071,0.023736799834296107,57.39601680007763,[-0.024],[0.124],[1],[0],[0],[2.54302590014413],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
20,0,20,0,57.42689280002378,,57.3984846000094,5,57.42689280002378,57.42689280002378,0.017625899985432625,58.915010400116444,[-0.284],[-0.142],[1],[0],[0],[1.4988845000043511],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
21,0,21,0,58.94530709995888,,58.91714549995959,5,58.94530709995888,58.94530709995888,0.014430100098252296,60.86704539996572,[-0.244],[0.406],[1],[0],[0],[1.935469500022009],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
22,0,22,0,60.89773500012234,,60.869172299979255,5,60.89773500012234,60.89773500012234,0.010559399845078588,62.535836700117216,[-0.494],[-0.002],[1],[0],[0],[1.6560712999198586],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
23,0,23,0,62.58283969992772,,62.53805380011909,10,62.58283969992772,62.58283969992772,0.021461399970576167,64.60402640001848,[0.436],[0.128],[1],[0],[0],[2.0445220000110567],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
24,0,24,0,64.63507600012235,,64.60617320006713,5,64.63507600012235,64.63507600012235,0.010827899910509586,66.47301040007733,[-0.146],[-0.156],[1],[0],[0],[1.8560898997820914],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
