trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04204510001000017,,0.011074400012148544,5,0.04204510001000017,0.04204510001000017,0.028975399996852502,1.6494741000060458,[-0.298],[0.4],[1],[0],[0],[1.619750899990322],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
1,0,1,0,1.7946112000208814,,1.6564168000186328,5,1.7946112000208814,1.7946112000208814,0.11637480001081713,3.1973326000152156,[0.028],[-0.132],[1],[0],[0],[1.4249758000078145],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
2,0,2,0,3.2287186000030488,,3.200429900025483,5,3.2287186000030488,3.2287186000030488,0.015529600001173094,4.516920900001423,[0.348],[0.232],[1],[0],[0],[1.3009863999905065],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
3,0,3,0,4.563418800011277,,4.522563900012756,5,4.563418800011277,4.563418800011277,0.019409899978199974,6.117138000001432,[-0.444],[-0.086],[1],[0],[0],[1.5758897999767214],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
4,0,4,0,6.148247900011484,,6.120714800024871,5,6.148247900011484,6.148247900011484,0.015524399990681559,7.806255900010001,[-0.148],[0.36],[1],[0],[0],[1.6701846000214573],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
5,0,5,0,7.900750200002221,,7.812865800020518,10,7.900750200002221,7.900750200002221,0.057641199993668124,10.038260900008027,[0.082],[-0.298],[1],[0],[0],[2.1688020000001416],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
6,0,6,0,10.086067600001115,,10.041188200004399,10,10.086067600001115,10.086067600001115,0.031895399995846674,11.72364790001302,[-0.23],[0.16],[1],[0],[0],[1.6507514000113588],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
7,0,7,0,11.754381600010674,,11.726701200008392,5,11.754381600010674,11.754381600010674,0.014677399973152205,13.509395300003234,[-0.086],[-0.22],[1],[0],[0],[1.7682199999981094],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
8,0,8,0,13.573491300019668,,13.51261340000201,10,13.573491300019668,13.573491300019668,0.03071520000230521,15.06028640002478,[-0.348],[0.044],[1],[0],[0],[1.5172128999838606],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
9,0,9,0,15.091354800009867,,15.063217500020983,5,15.091354800009867,15.091354800009867,0.014702699991175905,17.029621800000314,[-0.448],[0.49],[1],[0],[0],[1.9518430000171065],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
10,0,10,0,17.09384760001558,,17.034898700017948,10,17.09384760001558,17.09384760001558,0.0355691000004299,18.615092200023355,[0.36],[0.258],[1],[0],[0],[1.5452466999995522],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
11,0,11,0,18.695656900003087,,18.6190123000124,10,18.695656900003087,18.695656900003087,0.04897329999948852,19.88376550000976,[0.134],[-0.294],[1],[0],[0],[1.2164703000162262],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
12,0,12,0,19.930409900000086,,19.88864660001127,5,19.930409900000086,19.930409900000086,0.02110099999117665,21.30153930000961,[-0.338],[0.452],[1],[0],[0],[1.3924825000285637],['target'],574479,001,2024-10-04_11h07.39.760,VisualSearchTask,2024.1.5,None,2024-10-04 11h07.45.025555 +0530,
