trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,0,15,0,21.44511460000649,,21.404488500207663,5,21.44511460000649,21.44511460000649,0.018863500095903873,22.865061199991032,[0.306],[0.296],[1],[0],[0],[1.4425373000558466],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
16,0,16,0,22.89632060006261,,22.868906300049275,5,22.89632060006261,22.89632060006261,0.015115200076252222,24.35061000008136,[-0.276],[0.336],[1],[0],[0],[1.4668825000990182],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
17,0,17,0,24.41475940006785,,24.354132000124082,10,24.41475940006785,24.41475940006785,0.033999500097706914,25.769075200194493,[-0.108],[0.216],[1],[0],[0],[1.3812619999516755],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
18,0,18,0,25.832668400136754,,25.773907700087875,10,25.832668400136754,25.832668400136754,0.032132199965417385,27.704254400217906,[0.428],[-0.346],[1],[0],[0],[1.898900199914351],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
19,0,19,0,27.734830900095403,,27.707308300072327,5,27.734830900095403,27.734830900095403,0.01543550007045269,29.123082200065255,[0.106],[0.09],[1],[0],[0],[1.4004603999201208],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
20,0,20,0,29.15305950003676,,29.127957800170407,5,29.15305950003676,29.15305950003676,0.017168000107631087,30.30683010001667,[-0.102],[-0.004],[1],[0],[0],[1.1623583999462426],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
21,0,21,0,30.354495100211352,,30.31057390011847,10,30.354495100211352,30.354495100211352,0.02774050016887486,31.75919450004585,[0.188],[0.114],[1],[0],[0],[1.421260999981314],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
22,0,22,0,31.78931700019166,,31.76218369998969,5,31.78931700019166,31.78931700019166,0.014497000025585294,33.210121500073,[0.268],[-0.364],[1],[0],[0],[1.4336681999266148],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
23,0,23,0,33.25771310017444,,33.21350840013474,10,33.25771310017444,33.25771310017444,0.027334099868312478,34.67874770006165,[-0.21],[0.108],[1],[0],[0],[1.438122799852863],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
24,0,24,0,34.72599330008961,,34.682703900150955,10,34.72599330008961,34.72599330008961,0.02838810021057725,36.36424930021167,[0.18],[-0.372],[1],[0],[0],[1.6536340999882668],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
25,0,25,0,36.41104520019144,,36.36718250019476,10,36.41104520019144,36.41104520019144,0.02633829996921122,37.86523770005442,[-0.252],[-0.02],[1],[0],[0],[1.4718398000113666],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
26,0,26,0,37.89637400000356,,37.86814950010739,5,37.89637400000356,37.89637400000356,0.014554500114172697,39.017263300018385,[-0.204],[0.23],[1],[0],[0],[1.134529799921438],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
27,0,27,0,39.09761470020749,,39.025279300054535,10,39.09761470020749,39.09761470020749,0.05893990001641214,40.35263540013693,[0.094],[0.144],[1],[0],[0],[1.2694631998892874],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
28,0,28,0,40.399391300044954,,40.35787120019086,5,40.399391300044954,40.399391300044954,0.018117999890819192,42.20396660012193,[0.344],[-0.424],[1],[0],[0],[1.8286128998734057],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
29,0,29,0,42.23454500013031,,42.20695610018447,5,42.23454500013031,42.23454500013031,0.014243599958717823,43.505101500079036,[0.18],[0.338],[1],[0],[0],[1.2840016998816282],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
30,0,30,0,43.55236360011622,,43.509690300095826,10,43.55236360011622,43.55236360011622,0.02991809998638928,45.090078700101,[-0.31],[0.004],[1],[0],[0],[1.5511105000041425],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
31,0,31,0,45.137402300024405,,45.09308340004645,10,45.137402300024405,45.137402300024405,0.027827000012621284,46.82570370007306,[-0.488],[0.402],[1],[0],[0],[1.7051194999366999],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
32,0,32,0,46.856130900094286,,46.8286565002054,5,46.856130900094286,46.856130900094286,0.01472239987924695,48.11051800008863,[-0.01],[0.284],[1],[0],[0],[1.267205199925229],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
33,0,33,0,48.14067060011439,,48.11399030010216,5,48.14067060011439,48.14067060011439,0.015470100101083517,49.56244340003468,[-0.216],[0.1],[1],[0],[0],[1.4332059000153095],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
34,0,34,0,49.62614580010995,,49.56559500005096,10,49.62614580010995,49.62614580010995,0.03127110004425049,50.830296100117266,[-0.092],[0.244],[1],[0],[0],[1.2336064002010971],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
35,0,35,0,50.86047860002145,,50.83358280011453,5,50.86047860002145,50.86047860002145,0.016706200083717704,52.09749000007287,[0.412],[-0.206],[1],[0],[0],[1.2474665001500398],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
36,0,36,0,52.12837380007841,,52.10110180010088,5,52.12837380007841,52.12837380007841,0.01573610003106296,53.36685140011832,[-0.518],[0.146],[1],[0],[0],[1.2503239000216126],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
37,0,37,0,53.4468398001045,,53.372429500101134,10,53.4468398001045,53.4468398001045,0.04405119991861284,54.93437520018779,[0.384],[0.23],[1],[0],[0],[1.5186711000278592],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
38,0,38,0,54.981513400096446,,54.9373409000691,10,54.981513400096446,54.981513400096446,0.025971800088882446,56.20287590008229,[0.302],[-0.038],[1],[0],[0],[1.2394147000741214],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
39,0,39,0,56.300263800192624,,56.21100330003537,10,56.300263800192624,56.300263800192624,0.04960000002756715,57.70372049999423,[-0.266],[0.314],[1],[0],[0],[1.4442306999117136],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
40,0,40,0,57.751612400170416,,57.70664370013401,10,57.751612400170416,57.751612400170416,0.026007500011473894,59.05542300012894,[0.238],[0.324],[1],[0],[0],[1.322863900102675],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
41,0,41,0,59.10624870005995,,59.05983750009909,5,59.10624870005995,59.10624870005995,0.02025950001552701,60.525496600195765,[-0.196],[-0.424],[1],[0],[0],[1.4458367999177426],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
42,0,42,0,60.571237600175664,,60.53174120001495,5,60.571237600175664,60.571237600175664,0.018842299934476614,62.042625800007954,[0.376],[0.014],[1],[0],[0],[1.4927052999846637],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
43,0,43,0,62.12325240019709,,62.04814100009389,10,62.12325240019709,62.12325240019709,0.03910109982825816,63.710541300009936,[-0.068],[-0.176],[1],[0],[0],[1.6238313999492675],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
44,0,44,0,63.77466450002976,,63.71715050004423,10,63.77466450002976,63.77466450002976,0.032229899894446135,65.46207460016012,[-0.276],[0.396],[1],[0],[0],[1.7135253997985274],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
45,0,45,0,65.51032080012374,,65.46519400016405,10,65.51032080012374,65.51032080012374,0.026199799962341785,66.9649853000883,[0.274],[-0.25],[1],[0],[0],[1.4736976001877338],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
46,0,46,0,67.01195590011775,,66.97054990008473,5,67.01195590011775,67.01195590011775,0.022756600053980947,68.28347230004147,[-0.304],[0.444],[1],[0],[0],[1.2908288000617176],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
47,0,47,0,68.32999910018407,,68.28874450013973,10,68.32999910018407,68.32999910018407,0.028578000143170357,69.83468600013293,[-0.35],[0.118],[1],[0],[0],[1.517976500093937],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
48,0,48,0,69.88223430002108,,69.8398948002141,5,69.88223430002108,69.88223430002108,0.020370699930936098,70.91806650022045,[-0.418],[0.034],[1],[0],[0],[1.058467200025916],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
49,0,49,0,70.94905100017786,,70.92126560001634,5,70.94905100017786,70.94905100017786,0.01570700015872717,72.28662980021909,[-0.186],[0.052],[1],[0],[0],[1.3498855999205261],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
50,0,50,0,72.3173085001763,,72.2907414000947,5,72.3173085001763,72.3173085001763,0.01965950010344386,73.45421050000004,[-0.212],[-0.164],[1],[0],[0],[1.1442261000629514],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
51,0,51,0,73.50240560015664,,73.46000030008145,5,73.50240560015664,73.50240560015664,0.019299899926409125,74.74071190017276,[0.032],[-0.064],[1],[0],[0],[1.2622955001424998],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
52,0,52,0,74.77008700021543,,74.74399680015631,5,74.77008700021543,74.77008700021543,0.015015499899163842,76.29135500011034,[-0.266],[-0.438],[1],[0],[0],[1.5326210998464376],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
53,0,53,0,76.32179560000077,,76.29440440004691,5,76.32179560000077,76.32179560000077,0.01487359986640513,78.20980350021273,[0.414],[0.278],[1],[0],[0],[1.9007256000768393],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
54,0,54,0,78.24098180001602,,78.2125975000672,5,78.24098180001602,78.24098180001602,0.013846199959516525,79.96205210010521,[-0.458],[0.092],[1],[0],[0],[1.7357403000351042],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
55,0,55,0,79.99234310002066,,79.96554310014471,5,79.99234310002066,79.99234310002066,0.015383000019937754,81.11341030010954,[-0.06],[0.284],[1],[0],[0],[1.1327488000970334],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
56,0,56,0,81.17744470015168,,81.11876670015045,10,81.17744470015168,81.17744470015168,0.03342490014620125,82.44750750018284,[-0.424],[0.192],[1],[0],[0],[1.2960582999512553],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
57,0,57,0,82.49556330009364,,82.45051080011763,10,82.49556330009364,82.49556330009364,0.030099099967628717,83.51695420010947,[-0.316],[-0.006],[1],[0],[0],[1.0362418999429792],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
58,0,58,0,83.5968247000128,,83.5223090001382,10,83.5968247000128,83.5968247000128,0.04887629998847842,84.83467740006745,[0.182],[-0.076],[1],[0],[0],[1.2645012999419123],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
59,0,59,0,84.88158160005696,,84.84020250011235,5,84.88158160005696,84.88158160005696,0.01812259992584586,86.05387710011564,[0.062],[-0.25],[1],[0],[0],[1.1961236000061035],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
60,0,60,0,86.15002450020984,,86.05997140007094,10,86.15002450020984,86.15002450020984,0.05973779992200434,87.41974340006709,[0.028],[0.374],[1],[0],[0],[1.3007765000220388],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
61,0,61,0,87.48444240004756,,87.42511780001223,10,87.48444240004756,87.48444240004756,0.03884149994701147,88.9211853002198,[-0.352],[0.166],[1],[0],[0],[1.457824300043285],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
62,0,62,0,89.00307490001433,,88.92671290016733,10,89.00307490001433,89.00307490001433,0.044962899992242455,90.49124490004033,[0.46],[-0.216],[1],[0],[0],[1.520239599980414],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
63,0,63,0,90.53789050015621,,90.49671570002101,5,90.53789050015621,90.53789050015621,0.019155099987983704,91.65911740018055,[0.184],[0.192],[1],[0],[0],[1.143883700016886],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
64,0,64,0,91.7057749000378,,91.66642800020054,5,91.7057749000378,91.7057749000378,0.01887379982508719,92.99369950010441,[-0.38],[-0.14],[1],[0],[0],[1.3092376999557018],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
65,0,65,0,93.07372260000557,,92.99907990009524,10,93.07372260000557,93.07372260000557,0.05088659981265664,94.41178240021691,[0.516],[0.144],[1],[0],[0],[1.3625058000907302],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
66,0,66,0,94.475491899997,,94.41733630001545,10,94.475491899997,94.475491899997,0.032268399838358164,95.52946710004471,[0.408],[0.054],[1],[0],[0],[1.0804753000847995],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
67,0,67,0,95.61014430015348,,95.53501019999385,10,95.61014430015348,95.61014430015348,0.03848899994045496,96.94810080016032,[0.074],[0.228],[1],[0],[0],[1.3753694000188261],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
68,0,68,0,97.0115993001964,,96.95378750003874,10,97.0115993001964,97.0115993001964,0.037082099821418524,98.43369940016419,[0.064],[-0.416],[1],[0],[0],[1.4434804997872561],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
69,0,69,0,98.47974590002559,,98.43912470014766,5,98.47974590002559,98.47974590002559,0.019785100128501654,99.8854953001719,[0.422],[-0.468],[1],[0],[0],[1.427170999813825],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
70,0,70,0,99.9313742001541,,99.88967120018788,5,99.9313742001541,99.9313742001541,0.017918199999257922,101.02035060012713,[0.26],[0.098],[1],[0],[0],[1.113132300088182],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
71,0,71,0,101.08229740010574,,101.02584030013531,10,101.08229740010574,101.08229740010574,0.03516190010122955,102.53695470001549,[-0.484],[0.12],[1],[0],[0],[1.4767136999871582],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
72,0,72,0,102.56783690000884,,102.54009040002711,5,102.56783690000884,102.56783690000884,0.016281699994578958,103.98867190000601,[0.258],[0.372],[1],[0],[0],[1.4324791999533772],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
73,0,73,0,104.0361449001357,,103.991694400087,5,104.0361449001357,104.0361449001357,0.015902499901130795,106.12468360015191,[0.314],[-0.498],[1],[0],[0],[2.1172454999759793],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
74,0,74,0,106.18864280008711,,106.13021470000967,10,106.18864280008711,106.18864280008711,0.031799100106582046,107.82713130000047,[-0.212],[-0.1],[1],[0],[0],[1.665775400120765],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
75,0,75,0,107.89024320011958,,107.83269120007753,10,107.89024320011958,107.89024320011958,0.03347130003385246,109.41377660003491,[0.166],[-0.42],[1],[0],[0],[1.5457532999571413],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
76,0,76,0,109.47487340006046,,109.41668270016089,10,109.47487340006046,109.47487340006046,0.03524410002864897,110.72843580017798,[0.238],[0.354],[1],[0],[0],[1.2765915000345558],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
77,0,77,0,110.79339040000923,,110.73224370018579,10,110.79339040000923,110.79339040000923,0.04637180012650788,111.94671840011142,[0.036],[0.164],[1],[0],[0],[1.1683149000164121],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
78,0,78,0,112.02821820019744,,111.95280870003626,10,112.02821820019744,112.02821820019744,0.04154219990596175,113.26534859999083,[0.238],[0.12],[1],[0],[0],[1.271903300192207],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
79,0,79,0,113.31256660004146,,113.26839189999737,5,113.31256660004146,113.31256660004146,0.022036399925127625,114.40152300009504,[-0.444],[0.228],[1],[0],[0],[1.1111661999020725],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
80,0,80,0,114.44740370009094,,114.40708760009147,5,114.44740370009094,114.44740370009094,0.018273600144311786,115.66881820000708,[-0.382],[-0.104],[1],[0],[0],[1.2442030999809504],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
81,0,81,0,115.76551600010134,,115.67487390013412,10,115.76551600010134,115.76551600010134,0.054755899822339416,117.20296230004169,[0.156],[0.342],[1],[0],[0],[1.4740393001120538],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
82,0,82,0,117.25077280006371,,117.20876770000905,5,117.25077280006371,117.25077280006371,0.0232122999150306,118.45503270020708,[-0.458],[0.012],[1],[0],[0],[1.2237672000192106],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
83,0,83,0,118.53528050007299,,118.46104530012235,10,118.53528050007299,118.53528050007299,0.05288300011307001,120.00686420011334,[-0.394],[0.284],[1],[0],[0],[1.4941845999564976],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
84,0,84,0,120.07030830020085,,120.01234610006213,10,120.07030830020085,120.07030830020085,0.03341039991937578,122.09217469999567,[0.188],[-0.3],[1],[0],[0],[2.047065499937162],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
85,0,85,0,122.17256930004805,,122.09647710015997,10,122.17256930004805,122.17256930004805,0.044967700028792024,123.44396520010196,[0.006],[-0.42],[1],[0],[0],[1.303050999995321],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
86,0,86,0,123.49046070012264,,123.44710960006341,5,123.49046070012264,123.49046070012264,0.019574700156226754,124.9295103000477,[-0.118],[0.396],[1],[0],[0],[1.4629681000951678],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
87,0,87,0,124.99223110009916,,124.93503270018846,10,124.99223110009916,124.99223110009916,0.03317129984498024,126.17911230004393,[0.218],[0.108],[1],[0],[0],[1.211531899869442],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
88,0,88,0,126.24364970019087,,126.18228250020184,10,126.24364970019087,126.24364970019087,0.03125849994830787,127.2964031000156,[0.006],[0.204],[1],[0],[0],[1.082916900049895],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
