trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.054503400111570954,,0.009256200166419148,5,0.054503400111570954,0.054503400111570954,0.034928099950775504,1.4101897000800818,[0.012],[0.138],[1],[0],[0],[1.3741915998980403],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
1,0,1,0,1.5561201001983136,,1.4168229000642896,5,1.5561201001983136,1.5561201001983136,0.11867169989272952,2.9281972001772374,[0.396],[-0.012],[1],[0],[0],[1.3932158998213708],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
2,0,2,0,3.008412500144914,,2.9363874001428485,10,3.008412500144914,3.008412500144914,0.04200599994510412,4.4953074001241475,[-0.226],[0.3],[1],[0],[0],[1.5179833001457155],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
3,0,3,0,4.559744500089437,,4.506417900091037,5,4.559744500089437,4.559744500089437,0.03241529990918934,5.767877000151202,[0.108],[-0.282],[1],[0],[0],[1.2313663999084383],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
4,0,4,0,5.811603500042111,,5.771308000199497,5,5.811603500042111,5.811603500042111,0.021355199860408902,7.030949300155044,[-0.48],[-0.164],[1],[0],[0],[1.2386771000456065],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
5,0,5,0,7.0624140000436455,,7.0338972001336515,5,7.0624140000436455,7.0624140000436455,0.01521579991094768,8.301660800119862,[-0.088],[0.004],[1],[0],[0],[1.252527300035581],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
6,0,6,0,8.34757970017381,,8.306895700050518,5,8.34757970017381,8.34757970017381,0.022165799979120493,9.501557700103149,[-0.368],[-0.106],[1],[0],[0],[1.1731355001684278],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
7,0,7,0,9.531639800174162,,9.50591960013844,5,9.531639800174162,9.531639800174162,0.015805399976670742,10.776069500017911,[-0.078],[-0.024],[1],[0],[0],[1.2541831999551505],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
8,0,8,0,10.83490820019506,,10.781974400160834,5,10.83490820019506,10.83490820019506,0.03208809997886419,12.171008200151846,[-0.284],[0.344],[1],[0],[0],[1.3577494998462498],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
9,0,9,0,12.235219100024551,,12.176561600062996,10,12.235219100024551,12.235219100024551,0.03342620003968477,14.205983000108972,[0.35],[-0.34],[1],[0],[0],[1.9967793999239802],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
10,0,10,0,14.253345100209117,,14.20891570020467,10,14.253345100209117,14.253345100209117,0.02555050002411008,15.608198700007051,[0.198],[-0.008],[1],[0],[0],[1.3737848000600934],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
11,0,11,0,15.63822040008381,,15.611187900183722,5,15.63822040008381,15.63822040008381,0.014975399943068624,17.094170700060204,[-0.278],[-0.366],[1],[0],[0],[1.4680453999899328],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
12,0,12,0,17.173230500193313,,17.09955650009215,10,17.173230500193313,17.173230500193313,0.04786449996754527,18.6773215001449,[-0.516],[-0.45],[1],[0],[0],[1.5305835001636297],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
13,0,13,0,18.725187400123104,,18.68020510021597,10,18.725187400123104,18.725187400123104,0.028199699940159917,20.04603820014745,[-0.248],[-0.33],[1],[0],[0],[1.3378259998280555],[],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
14,0,14,0,20.076857100008056,,20.049022300168872,5,20.076857100008056,20.076857100008056,0.01460570003837347,21.398880100110546,[0.02],[-0.346],[1],[0],[0],[1.3352898000739515],['target'],160453,001,2024-10-01_23h48.14.046,VisualSearchTask,2024.1.5,None,2024-10-01 23h48.19.809534 +0530,
