trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08039009999998825,,0.018799399999977595,10,0.08039009999998825,0.08039009999998825,0.052006799999958275,14.45328539999997,[0.476],[-0.414],[1],[0],[0],[14.400730699999997],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
1,0,1,0,14.497100100000011,,14.457818799999984,10,14.497100100000011,14.497100100000011,0.024316900000030728,17.05245359999998,[0.148],[-0.152],[1],[0],[0],[2.5703407999999968],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
2,0,2,0,17.116446300000007,,17.0562405,10,17.116446300000007,17.116446300000007,0.03511810000003379,19.604734899999983,[-0.106],[0.156],[1],[0],[0],[2.513639899999987],[],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
3,0,3,0,19.654084099999977,,19.608149400000002,5,19.654084099999977,19.654084099999977,0.029182099999957245,23.876509999999996,[-0.164],[0.348],[1],[0],[0],[4.23914689999998],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
4,0,4,0,23.90738799999997,,23.878809100000012,5,23.90738799999997,23.90738799999997,0.01091350000001512,25.595752500000003,[0.172],[-0.172],[1],[0],[0],[1.7059611999999902],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
5,0,5,0,25.642673300000013,,25.598175400000002,10,25.642673300000013,25.642673300000013,0.024569100000007893,27.830487699999992,[-0.212],[-0.334],[1],[0],[0],[2.2076622999999813],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
6,0,6,0,27.87874579999999,,27.83345829999996,10,27.87874579999999,27.87874579999999,0.02756579999999076,30.901348199999973,[0.236],[-0.374],[1],[0],[0],[3.040564600000039],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
7,0,7,0,30.964799700000015,,30.9050522,10,30.964799700000015,30.964799700000015,0.03760119999998324,33.30412530000001,[-0.118],[-0.074],[1],[0],[0],[2.361696199999983],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
8,0,8,0,33.33499389999997,,33.30650779999996,5,33.33499389999997,33.33499389999997,0.01311470000001691,35.47292049999999,[-0.052],[-0.276],[1],[0],[0],[2.1532163999999625],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
9,0,9,0,35.52012709999997,,35.47534559999997,10,35.52012709999997,35.52012709999997,0.023298899999986133,37.94234039999998,[-0.102],[-0.342],[1],[0],[0],[2.443565299999989],['target'],870809,001,2024-10-02_00h04.02.008,VisualSearchTask,2024.1.5,None,2024-10-02 00h04.11.497712 +0530,
